person_id,name,given_name,gender,book_id,notes
claude_inis,Claude,Inis,male,Mazower (2009),
claveirole_jean,Claveirole,Jean,male,Sluga (2013),
clementel_etienne,Clémentel,Étienne,male,Martin (2022),
clementi_cecil,Clementi,Cecil,male,Martin (2022),
clinton_bill,Clinton,Bill,male,Slobodian (2018),
cobden_richard,Cobden,Richard,male,Slobodian (2018),
cohrs_patrick_o,Cohrs,Patrick O.,male,Clavin (2015),
colby_bainbridge,Colby,Bainbridge,male,Martin (2022),
colijn_hendrikus,Colijn,Hendrikus,male,Clavin (2015),
condliffe_john_bell,Condliffe,John Bell,male,Slobodian (2018),
condliffe_john_bell,Condliffe,John Bell,male,Clavin (2015),
coolidge_calvin,Coolidge,Calvin,male,Clavin (2015),
cooper_frederick,Cooper,Frederick,male,Slobodian (2018),
corbet_hugh,Corbet,Hugh,male,Slobodian (2018),
corbin_charles,Corbin,Charles,male,Clavin (2015),
cornwell_dean,Cornwell,Dean,male,Slobodian (2018),
cortesao_armando,Cortesao,Armando,male,Sluga (2013),
cortney_philip,Cortney,Philip,male,Slobodian (2018),
costa_du_rels_adolfo,Costa du Rels,Adolfo,male,Clavin (2015),
coulondre_robert,Coulondre,Robert,male,Clavin (2015),
cox_james,Cox,James,male,Clavin (2015),
crafts_wilbur_fisk,Crafts,Wilbur Fisk,male,Sluga (2013),
cranborne_lord,Cranborne,Lord,male,Sluga (2013),
cranborne_viscount,Cranborne,Viscount,male,Clavin (2015),
crocker_walter,Crocker,Walter,male,Sluga (2013),
crowdy_rachel,Crowdy,Rachel,female,Sluga (2013),
culbertson_ely,Culbertson,Ely,male,Sluga (2013),
cunliffe_lister_philip,Cunliffe-Lister,Philip,male,Martin (2022),
curzon_george_nathaniel,Curzon,George Nathaniel,male,Mazower (2009),
curzon_gerard,Curzon,Gerard,male,Slobodian (2018),
curzon_george_nathaniel,Curzon,George Nathaniel,male,Clavin (2015),
curzon_price_victoria,Curzon-Price,Victoria,female,Slobodian (2018),
daladier_edouard,Daladier,Édouard,male,Clavin (2015),
dannevig_valentine,Dannevig,Valentine,female,Sluga (2013),
davenport_john,Davenport,John,male,Slobodian (2018),
davis_gary,Davis,Gary,male,Sluga (2013),
davis_hayne,Davis,Hayne,male,Sluga (2013),
davis_norman_h,Davis,Norman H.,male,Clavin (2015),
davis_norman_h,Davis,Norman H.,male,Slobodian (2018),
dawes_charles,Dawes,Charles,male,Slobodian (2018),
day_edmund_e,Day,Edmund E.,male,Clavin (2015),
day_edmund_e,Day,Edmund E.,male,Slobodian (2018),
de_fleuriau_aime,de Fleuriau,Aimé,male,Clavin (2015),
de_grazia_victoria,de Grazia,Victoria,female,Clavin (2015),
de_iongh_crena,de Iongh,Crena,male,Clavin (2015),
de_madariaga_salvador,de Madariaga,Salvador,male,Sluga (2013),
de_nickl_alfred,de Nickl,Alfred,male,Clavin (2015),
de_seynes_philippe,de Seynes,Philippe,male,Sluga (2013),
deng_xiaoping,Deng,Xiaoping,male,Slobodian (2018),
